Location,Coordinates
"Amoneburg, Germany","(50.7975562, 8.9231329)"
"Sevenoaks, England","(51.2745218, 0.1961166)"
"Willington, Connecticut","(41.874428, -72.2598935)"
"Hadley, New Jersey","(40.565084, -74.4814849)"
Atlantic Ocean,"(13.581921, -38.320312)"
"Schleiz, Germany","(50.5590505, 11.8040013)"
"Thies, Mauritania",
"New Brunswick, New Jersey","(40.4951365, -74.4439254)"
"Strasburg, France","(48.584614, 7.7507127)"
Over the Gulf of Finland,"(59.8737114, 26.3230491)"
"Corunna, Indiana","(41.4372721, -85.1471934)"
"Almeria, Spain","(36.8414197, -2.4628135)"
"Near Marseille,France","(43.2961743, 5.3699525)"
"Near Canajoharie, New York","(42.9056288, -74.5718073)"
"Solis, Uruguay","(-34.7923733, -55.3837161)"
"L'Hospitalet, Ariège","(43.2297425, 1.7138034)"
"Tarragona, Spain","(41.1172364, 1.2530982)"
"Marquette, Nebraska","(41.0070132, -98.0114268)"
"Off Cape Griz Nez, France","(50.8706267, 1.5900802)"
"Federal, Wyoming","(38.8898202, -77.0402445)"
"Minuesa, Spain","(39.6903253, -4.4273603)"
"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil","(-27.6649636, -48.4786581)"
"Dearborn, Minnesota","(44.9189015, -93.3906083)"
"Radevormwald, Germany","(51.2029228, 7.3571392)"
"Frankfurt, Germany","(50.1106444, 8.6820917)"
"Lebo, Kansas","(38.4166818, -95.8530441)"
"Waalhaven, Netherlands","(51.8918576, 4.4408646)"
"Near Port Townsend, BC, Canada","(49.1069701, -122.8033573)"
"Adelaide Hills, Australia","(-34.9013511, 138.8293202)"
"Pocatello, Idaho","(42.8620287, -112.450627)"
"Heroldbach, Germany",
"Gerona, Spain","(41.9793006, 2.8199439)"
"Polk, Pennsylvania","(41.3670014, -79.9292233)"
"Valence, France","(44.9332277, 4.8920811)"
"Edgerton, Ohio","(41.4487184, -84.7480385)"
"Bristolville, Ohio","(41.3874649, -80.8692679)"
"Spur, Texas","(33.4764767, -100.855685)"
"Near Rio de Janeiro,Brazil","(-22.9110137, -43.2093727)"
"Spokan, Washington","(47.6571104, -117.2613936)"
"Letzlingen, Germany","(52.4480374, 11.4852603)"
"Huron, Ohio","(41.1305303, -82.591828)"
"Chattanooga, Tennessee","(35.0457219, -85.3094883)"
"Reims, France","(49.2577886, 4.031926)"
"Stafford Springs, Connecticut","(41.9623876, -72.3129297)"
"Cove, Oregon","(45.2965257, -117.807987)"
"Near Corfu, Greece","(39.591337, 19.8596189)"
Off Morocco,
"Morgantown, West Virginia","(39.6296809, -79.9559437)"
"Near Beaumont, California","(33.9299925, -116.9763092)"
"San Diego, California","(32.7174202, -117.162772)"
"Tampico, Mexico","(22.2701096, -97.8948674)"
"Tököl,  Pest Hungary","(47.3226787, 18.9632427)"
Algiers,"(36.7729333, 3.0588445)"
"Santiago de Cuba, Cuba","(20.0214263, -75.8294928)"
"Off Dungeness, England","(50.9141783, 0.9728941)"
"St. Paul, Minnesota","(44.9497487, -93.0931028)"
"Near Lindau, Bavaria, Germany","(47.550753, 9.6926624)"
"Columbus, Ohio","(39.9622601, -83.0007065)"
"Clovis, New Mexico","(34.405472, -103.2050709)"
"Sochi, Russia","(43.5854823, 39.723109)"
"Elm, Germany","(52.1615728, 10.8948364)"
"Needles, California","(34.8383236, -114.603872)"
"Mt. Taylor, near Grants, New Mexico","(35.14726, -107.851446)"
"Jask, Iran","(25.6436156, 57.7745644)"
"Saint Catharines, Ontario","(43.1579812, -79.2441003)"
"Mt Lamentation, Connecticut","(41.5960149, -72.7414284)"
"Off Larache, Morocco","(35.1952327, -6.152913)"
"Jacumba, California","(32.6302081, -116.1750008)"
"Off Spezia, Italy","(45.0381379, 7.6694758)"
"Mount Vernon, Ohio","(40.3933956, -82.4857181)"
